"atc","parent","sv","en"
"L01EX25","L01EX","Umbralisib","Umbralisib"
"L01EX26","L01EX","Sitravatinib","Sitravatinib"
"L01EX27","L01EX","Kapivasertib","Capivasertib"
"L01EX28","L01EX","Repotrektinib","Repotrectinib"
"L01F","L01","Monoklonala antikroppar och antikroppsläkemedelskonjugat","Monoclonal antibodies and antibody drug conjugates"
"L01FA","L01F","CD20 (Differentieringskluster 20) hämmare","CD20 (Clusters of Differentiation 20) inhibitors"
"L01FA01","L01FA","Rituximab","Rituximab"
"L01FA02","L01FA","Ofatumumab","Ofatumumab"
"L01FA03","L01FA","Obinutuzumab","Obinutuzumab"
"L01FB","L01F","CD22 (Differentieringskluster 22) hämmare","CD22 (Clusters of Differentiation 22) inhibitors"
"L01FB01","L01FB","Inotuzumabozogamicin","Inotuzumab ozogamicin"
"L01FB02","L01FB","Moxetumomab pasudotox","Moxetumomab pasudotox"
"L01FC","L01F","CD38 (Differentieringskluster 38) hämmare","CD38 (Clusters of Differentiation 38) inhibitors"
"L01FC01","L01FC","Daratumumab","Daratumumab"
"L01FC02","L01FC","Isatuximab","Isatuximab"
"L01FD","L01F","HER2 (Human epidermal tillväxtfaktorreceptor 2) hämmare","HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors"
"L01FD01","L01FD","Trastuzumab","Trastuzumab"
"L01FD02","L01FD","Pertuzumab","Pertuzumab"
"L01FD03","L01FD","Trastuzumab emtansin","Trastuzumab emtansine"
"L01FD04","L01FD","Trastuzumab deruxtecan","Trastuzumab deruxtecan"
"L01FD05","L01FD","Trastuzumab duokarmazin","Trastuzumab duocarmazine"
"L01FD06","L01FD","Margetuximab","Margetuximab"
"L01FD07","L01FD","Zanidatamab","Zanidatamab"
"L01FE","L01F","EGFR (Epidermal tillväxtfaktorreceptor) hämmare","EGFR (Epidermal Growth Factor Receptor) inhibitors"
"L01FE01","L01FE","Cetuximab","Cetuximab"
"L01FE02","L01FE","Panitumumab","Panitumumab"
"L01FE03","L01FE","Necitumumab","Necitumumab"
"L01FF","L01F","PD-1/PDL-1 (Programmerad celldödsprotein 1/dödsligand 1) hämmare","PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors"
"L01FF01","L01FF","Nivolumab","Nivolumab"
"L01FF02","L01FF","Pembrolizumab","Pembrolizumab"
"L01FF03","L01FF","Durvalumab","Durvalumab"
"L01FF04","L01FF","Avelumab","Avelumab"
"L01FF05","L01FF","Atezolizumab","Atezolizumab"
"L01FF06","L01FF","Cemiplimab","Cemiplimab"
"L01FF07","L01FF","Dostarlimab","Dostarlimab"
"L01FF08","L01FF","Prolgolimab","Prolgolimab"
"L01FF09","L01FF","Tislelizumab","Tislelizumab"
"L01FF10","L01FF","Retifanlimab","Retifanlimab"
"L01FF11","L01FF","Sugemalimab","Sugemalimab"
"L01FF12","L01FF","Serplulimab","Serplulimab"
"L01FF13","L01FF","Toripalimab","Toripalimab"
"L01FG","L01F","VEGF/VEGFR (Vaskulär endotelial tillväxtfaktor) hämmare","VEGF/VEGFR (Vascular Endothelial Growth Factor) inhibitors"
"L01FG01","L01FG","Bevacizumab","Bevacizumab"
"L01FG02","L01FG","Ramucirumab","Ramucirumab"
"L01FX","L01F","Övriga monoklonala antikroppar och antikroppsläkemedelskonjugat","Other monoclonal antibodies and antibody drug conjugates"
"L01FX01","L01FX","Edrekolomab","Edrecolomab"
"L01FX02","L01FX","Gemtuzumabozogamicin","Gemtuzumab ozogamicin"
"L01FX03","L01FX","Katumaxomab","Catumaxomab"
"L01FX04","L01FX","Ipilimumab","Ipilimumab"
"L01FX05","L01FX","Brentuximab vedotin","Brentuximab vedotin"
"L01FX06","L01FX","Dinutuximab beta","Dinutuximab beta"
"L01FX07","L01FX","Blinatumomab","Blinatumomab"
"L01FX08","L01FX","Elotuzumab","Elotuzumab"
"L01FX09","L01FX","Mogamulizumab","Mogamulizumab"
"L01FX10","L01FX","Olaratumab","Olaratumab"
"L01FX11","L01FX","Bermekimab","Bermekimab"
"L01FX12","L01FX","Tafasitamab","Tafasitamab"
"L01FX13","L01FX","Enfortumab vedotin","Enfortumab vedotin"
"L01FX14","L01FX","Polatuzumab vedotin","Polatuzumab vedotin"
"L01FX15","L01FX","Belantamab mafodotin","Belantamab mafodotin"
"L01FX16","L01FX","Oportuzumab monatox","Oportuzumab monatox"
"L01FX17","L01FX","Sacituzumabgovitekan","Sacituzumab govitecan"
"L01FX18","L01FX","Amivantamab","Amivantamab"
"L01FX19","L01FX","Sabatolimab","Sabatolimab"
"L01FX20","L01FX","Tremelimumab","Tremelimumab"
"L01FX21","L01FX","Naxitamab","Naxitamab"
"L01FX22","L01FX","Lonkastuximabtesirin","Loncastuximab tesirine"
"L01FX23","L01FX","Tisotumabvedotin","Tisotumab vedotin"
"L01FX24","L01FX","Teklistamab","Teclistamab"
"L01FX25","L01FX","Mosunetuzumab","Mosunetuzumab"
"L01FX26","L01FX","Mirvetuximabsoravtansin","Mirvetuximab soravtansine"
"L01FX27","L01FX","Epkoritamab","Epcoritamab"
"L01FX28","L01FX","Glofitamab","Glofitamab"
"L01FX29","L01FX","Talkvetamab","Talquetamab"
"L01FX31","L01FX","Zolbetuximab","Zolbetuximab"
"L01FX32","L01FX","Elranatamab","Elranatamab"
"L01FX33","L01FX","Tarlatamab","Tarlatamab"
"L01FX34","L01FX","Odronextamab","Odronextamab"
"L01FX35","L01FX","Datopotamab deruxtekan","Datopotamab deruxtecan"
"L01FX36","L01FX","Patritumab deruxtekan","Patritumab deruxtecan"
"L01FY","L01F","Kombinationer av monoklonala antikroppar och antikroppsläkemedelskonjugat","Combinations of monoclonal antibodies and antibody drug conjugates"
"L01FY01","L01FY","Pertuzumab och trastuzumab","Pertuzumab and trastuzumab"
"L01FY02","L01FY","Nivolumab och relatlimab","Nivolumab and relatlimab"
"L01FY03","L01FY","Prolgolimab och nurulimab","Prolgolimab and nurulimab"
"L01X","L01","Övriga antineoplastiska medel","Other antineoplastic agents"
"L01XA","L01X","Platinaföreningar","Platinum compounds"
"L01XA01","L01XA","Cisplatin","Cisplatin"
"L01XA02","L01XA","Karboplatin","Carboplatin"
"L01XA03","L01XA","Oxaliplatin","Oxaliplatin"
"L01XA04","L01XA","Satraplatin","Satraplatin"
"L01XA05","L01XA","Polyplatillen","Polyplatillen"
"L01XB","L01X","Metylhydraziner","Methylhydrazines"
"L01XB01","L01XB","Prokarbazin","Procarbazine"
"L01XB02","L01XB","Dakarbazin","Dacarbazine"
"L01XC","L01X","Monoklonala antikroppar","Monoclonal antibodies"
"L01XC01","L01XC","Edrekolomab","Edrecolomab"
"L01XC02","L01XC","Rituximab","Rituximab"
"L01XC03","L01XC","Trastuzumab","Trastuzumab"
"L01XC04","L01XC","Alemtuzumab","Alemtuzumab"
"L01XC05","L01XC","Gemtuzumabozogamicin","Gemtuzumab ozogamicin"
"L01XC06","L01XC","Cetuximab","Cetuximab"
"L01XC07","L01XC","Bevacizumab","Bevacizumab"
"L01XC08","L01XC","Panitumumab","Panitumumab"
"L01XC09","L01XC","Katumaxomab","Catumaxomab"
"L01XC10","L01XC","Ofatumumab","Ofatumumab"
"L01XC11","L01XC","Ipilimumab","Ipilimumab"
"L01XC12","L01XC","Brentuximab vedotin","Brentuximab vedotin"
"L01XC13","L01XC","Pertuzumab","Pertuzumab"
"L01XC14","L01XC","Trastuzumabemtansin","Trastuzumab emtansine"
"L01XC15","L01XC","Obinutuzumab","Obinutuzumab"
"L01XC16","L01XC","Dinutuximab beta","Dinutuximab beta"
"L01XC17","L01XC","Nivolumab","Nivolumab"
"L01XC18","L01XC","Pembrolizumab","Pembrolizumab"
"L01XC19","L01XC","Blinatumomab","Blinatumomab"
"L01XC21","L01XC","Ramucirumab","Ramucirumab"
"L01XC22","L01XC","Necitumumab","Necitumumab"
"L01XC23","L01XC","Elotuzumab","Elotuzumab"
"L01XC24","L01XC","Daratumumab","Daratumumab"
"L01XC25","L01XC","Mogamulizumab","Mogamulizumab"
"L01XC26","L01XC","Inotuzumabozogamicin","Inotuzumab ozogamicin"
"L01XC27","L01XC","Olaratumab","Olaratumab"
"L01XC28","L01XC","Durvalumab","Durvalumab"
"L01XC29","L01XC","Bermekimab","Bermekimab"
"L01XC31","L01XC","Avelumab","Avelumab"
"L01XC32","L01XC","Atezolizumab","Atezolizumab"
"L01XC33","L01XC","Cemiplimab","Cemiplimab"
"L01XC34","L01XC","Moxetumomab pasudotox","Moxetumomab pasudotox"
"L01XC35","L01XC","Tafasitamab","Tafasitamab"
"L01XC36","L01XC","Enfortumab vedotin","Enfortumab vedotin"
"L01XC37","L01XC","Polatuzumab vedotin","Polatuzumab vedotin"
"L01XC38","L01XC","Isatuximab","Isatuximab"
"L01XC39","L01XC","Belantamab mafodotin","Belantamab mafodotin"
"L01XC40","L01XC","Dostarlimab","Dostarlimab"
"L01XC41","L01XC","Trastuzumab deruxtekan","Trastuzumab deruxtecan"
"L01XD","L01X","Sensibiliserande ämnen för strålning/fotodynamisk behandling","Sensitizers used in photodynamic/radiation therapy"
"L01XD01","L01XD","Porfimernatrium","Porfimer sodium"
"L01XD03","L01XD","Metylaminolevulinat","Methyl aminolevulinate"
"L01XD04","L01XD","Aminolevulinsyra","Aminolevulinic acid"
"L01XD05","L01XD","Temoporfin","Temoporfin"
"L01XD06","L01XD","Efaproxiral","Efaproxiral"
"L01XD07","L01XD","Padeliporfin","Padeliporfin"
"L01XE","L01X","Proteinkinashämmare","Protein kinase inhibitors"
"L01XE01","L01XE","Imatinib","Imatinib"
"L01XE02","L01XE","Gefitinib","Gefitinib"
"L01XE03","L01XE","Erlotinib","Erlotinib"
"L01XE04","L01XE","Sunitinib","Sunitinib"
"L01XE05","L01XE","Sorafenib","Sorafenib"
"L01XE06","L01XE","Dasatinib","Dasatinib"
"L01XE07","L01XE","Lapatinib","Lapatinib"
"L01XE08","L01XE","Nilotinib","Nilotinib"
"L01XE09","L01XE","Temsirolimus","Temsirolimus"
"L01XE10","L01XE","Everolimus","Everolimus"
"L01XE11","L01XE","Pazopanib","Pazopanib"
"L01XE12","L01XE","Vandetanib","Vandetanib"
"L01XE13","L01XE","Afatinib","Afatinib"
"L01XE14","L01XE","Bosutinib","Bosutinib"
"L01XE15","L01XE","Vemurafenib","Vemurafenib"
"L01XE16","L01XE","Krizotinib","Crizotinib"
"L01XE17","L01XE","Axitinib","Axitinib"
"L01XE18","L01XE","Ruxolitinib","Ruxolitinib"
"L01XE19","L01XE","Ridaforolimus","Ridaforolimus"
"L01XE21","L01XE","Regorafenib","Regorafenib"
"L01XE22","L01XE","Masitinib","Masitinib"
"L01XE23","L01XE","Dabrafenib","Dabrafenib"
"L01XE24","L01XE","Ponatinib","Ponatinib"
"L01XE25","L01XE","Trametinib","Trametinib"
"L01XE26","L01XE","Kabozantinib","Cabozantinib"
"L01XE27","L01XE","Ibrutinib","Ibrutinib"
"L01XE28","L01XE","Ceritinib","Ceritinib"
"L01XE29","L01XE","Lenvatinib","Lenvatinib"
"L01XE31","L01XE","Nintedanib","Nintedanib"
"L01XE32","L01XE","Cediranib","Cediranib"
"L01XE33","L01XE","Palbociklib","Palbociclib"
"L01XE34","L01XE","Tivozanib","Tivozanib"
"L01XE35","L01XE","Osimertinib","Osimertinib"
"L01XE36","L01XE","Alektinib","Alectinib"
"L01XE37","L01XE","Rociletinib","Rociletinib"
"L01XE38","L01XE","Kobimetinib","Cobimetinib"
"L01XE39","L01XE","Midostaurin","Midostaurin"
"L01XE40","L01XE","Olmutinib","Olmutinib"
"L01XE41","L01XE","Binimetinib","Binimetinib"
"L01XE42","L01XE","Ribociklib","Ribociclib"
"L01XE43","L01XE","Brigatinib","Brigatinib"
"L01XE44","L01XE","Lorlatinib","Lorlatinib"
"L01XE45","L01XE","Neratinib","Neratinib"
"L01XE46","L01XE","Enkorafenib","Encorafenib"
"L01XE47","L01XE","Dakomitinib","Dacomitinib"
"L01XE48","L01XE","Ikotinib","Icotinib"
"L01XE50","L01XE","Abemaciklib","Abemaciclib"
"L01XE51","L01XE","Akalabrutinib","Acalabrutinib"
"L01XE52","L01XE","Kizartinib","Quizartinib"
"L01XE53","L01XE","Larotrektinib","Larotrectinib"
"L01XE54","L01XE","Gilterinitib","Gilterinitib"
"L01XE56","L01XE","Entrektinib","Entrectinib"
"L01XE57","L01XE","Fedratinib","Fedratinib"
"L01XF","L01X","Retinoider för cancerbehandling","Retinoids for cancer treatment"
"L01XF01","L01XF","Tretinoin","Tretinoin"
"L01XF02","L01XF","Alitretinoin","Alitretinoin"
"L01XF03","L01XF","Bexaroten","Bexarotene"
"L01XG","L01X","Proteasomhämmare","Proteasome inhibitors"
"L01XG01","L01XG","Bortezomib","Bortezomib"
"L01XG02","L01XG","Karfilzomib","Carfilzomib"
"L01XG03","L01XG","Ixazomib","Ixazomib"
"L01XH","L01X","Histondeacetylas (HDAC) hämmare","Histone deacetylase (HDAC) inhibitors"
"L01XH01","L01XH","Vorinostat","Vorinostat"
"L01XH02","L01XH","Romidepsin","Romidepsin"
"L01XH03","L01XH","Panobinostat","Panobinostat"
"L01XH04","L01XH","Belinostat","Belinostat"
"L01XH05","L01XH","Entinostat","Entinostat"
"L01XH06","L01XH","Tucidinostat","Tucidinostat"
"L01XH07","L01XH","Resminostat","Resminostat"
"L01XJ","L01X","Hämmare av Hedgehog-signalvägen","Hedgehog pathway inhibitors"
"L01XJ01","L01XJ","Vismodegib","Vismodegib"
"L01XJ02","L01XJ","Sonidegib","Sonidegib"
"L01XJ03","L01XJ","Glasdegib","Glasdegib"
"L01XK","L01X","Poly (ADP-ribos) polymeras (PARP) hämmare","Poly (ADP-ribose) polymerase (PARP) inhibitors"
"L01XK01","L01XK","Olaparib","Olaparib"
"L01XK02","L01XK","Niraparib","Niraparib"
"L01XK03","L01XK","Rukaparib","Rucaparib"
"L01XK04","L01XK","Talazoparib","Talazoparib"
"L01XK05","L01XK","Veliparib","Veliparib"
"L01XK06","L01XK","Pamiparib","Pamiparib"
"L01XK52","L01XK","Niraparib och abirateron","Niraparib and abiraterone"
"L01XL","L01X","Antineoplastisk cell- och genterapi","Antineoplastic cell and gene therapy"
"L01XL01","L01XL","Sitimagen-ceradenovek","Sitimagene ceradenovec"
"L01XL02","L01XL","Talimogen-laherparepvek","Talimogene laherparepvec"
"L01XL03","L01XL","Axikabtagen-ciloleucel","Axicabtagene ciloleucel"
"L01XL04","L01XL","Tisagenlekleucel","Tisagenlecleucel"
"L01XL05","L01XL","Ciltakabtagen-autoleucel","Ciltacabtagene autoleucel"
"L01XL06","L01XL","Brexukabtagen-autoleucel","Brexucabtagene autoleucel"
"L01XL07","L01XL","Idekabtagen-vikleucel","Idecabtagene vicleucel"
"L01XL08","L01XL","Lisokabtagen-maraleucel","Lisocabtagene maraleucel"
"L01XL09","L01XL","Tabelekleucel","Tabelecleucel"
"L01XL10","L01XL","Nadofaragen-firadenovek","Nadofaragene firadenovec"
"L01XL11","L01XL","Lifileucel","Lifileucel"
"L01XL12","L01XL","Obekabtagen-autoleucel","Obecabtagene autoleucel"
"L01XM","L01X","Isocitratdehydrogenas (IDH) hämmare","Isocitrate dehydrogenase (IDH) inhibitors"
"L01XM01","L01XM","Enasidenib","Enasidenib"
"L01XM02","L01XM","Ivosidenib","Ivosidenib"
"L01XM03","L01XM","Olutasidenib","Olutasidenib"
"L01XM04","L01XM","Vorasidenib","Vorasidenib"
"L01XU","L01X","Övriga antineoplastiska medel (forts.)","Other antineoplastic agents (cont.)"
"L01XX","L01X","Övriga antineoplastiska medel","Other antineoplastic agents"
"L01XX01","L01XX","Amsakrin","Amsacrine"
"L01XX02","L01XX","Asparginas","Asparaginase"
"L01XX03","L01XX","Altretamin","Altretamine"
"L01XX04","L01XX","Mitoxantron","Mitoxantrone"
"L01XX05","L01XX","Hydroxikarbamid","Hydroxycarbamide"
"L01XX06","L01XX","BCG-vaccin","BCG vaccine"
"L01XX07","L01XX","Lonidamin","Lonidamine"
"L01XX08","L01XX","Pentostatin","Pentostatin"
"L01XX09","L01XX","Miltefosin","Miltefosine"
"L01XX10","L01XX","Masoprokol","Masoprocol"
"L01XX11","L01XX","Estramustin","Estramustine"
"L01XX12","L01XX","Paklitaxel","Paclitaxel"
"L01XX14","L01XX","Tretinoin","Tretinoin"
"L01XX15","L01XX","Porfimernatrium","Porfimer sodium"
"L01XX16","L01XX","Mitoguazon","Mitoguazone"
"L01XX17","L01XX","Topotekan","Topotecan"
"L01XX18","L01XX","Tiazofurin","Tiazofurine"
"L01XX19","L01XX","Irinotekan","Irinotecan"
"L01XX20","L01XX","Kombinationer","Combinations"
"L01XX22","L01XX","Alitretinoin","Alitretinoin"
"L01XX23","L01XX","Mitotan","Mitotane"
"L01XX24","L01XX","Pegaspargas","Pegaspargase"
"L01XX25","L01XX","Bexaroten","Bexarotene"
"L01XX26","L01XX","Verteporfin","Veteporfin"
"L01XX27","L01XX","Arseniktrioxid","Arsenic trioxide"
"L01XX29","L01XX","Denileukin diftitox","Denileukin diftitox"
"L01XX31","L01XX","Gefitinib","Gefitinib"
"L01XX32","L01XX","Bortezomib","Bortezomib"
"L01XX33","L01XX","Celecoxib","Celecoxib"
"L01XX35","L01XX","Anagrelid","Anagrelide"
"L01XX36","L01XX","Oblimersen","Oblimersen"
"L01XX37","L01XX","Sitimagen-ceradenovek","Sitimagene ceradenovec"
"L01XX38","L01XX","Vorinostat","Vorinostat"
"L01XX39","L01XX","Romidepsin","Romidepsin"
"L01XX40","L01XX","Omacetaxinmepesuccinat","Omacetaxine mepesuccinate"
"L01XX41","L01XX","Eribulin","Eribulin"
"L01XX42","L01XX","Panobinostat","Panobinostat"
"L01XX43","L01XX","Vismodegib","Vismodegib"
"L01XX44","L01XX","Aflibercept","Aflibercept"
"L01XX45","L01XX","Karfilzomib","Carfilzomib"
"L01XX46","L01XX","Olaparib","Olaparib"
"L01XX47","L01XX","Idelalisib","Idelalisib"
"L01XX48","L01XX","Sonidegib","Sonidegib"
"L01XX49","L01XX","Belinostat","Belinostat"
"L01XX50","L01XX","Ixazomib","Ixazomib"
"L01XX51","L01XX","Talimogen-laherparepvek","Talimogene laherparepvec"
"L01XX52","L01XX","Venetoklax","Venetoclax"
"L01XX53","L01XX","Vosaroxin","Vosaroxin"
"L01XX54","L01XX","Niraparib","Niraparib"
"L01XX55","L01XX","Rukaparib","Rucaparib"
"L01XX56","L01XX","Etirinotekan pegol","Etirinotecan pegol"
"L01XX57","L01XX","Plitidepsin","Plitidepsin"
"L01XX58","L01XX","Epakadostat","Epacadostat"
"L01XX59","L01XX","Enasidenib","Enasidenib"
"L01XX60","L01XX","Talazoparib","Talazoparib"
"L01XX61","L01XX","Kopanlisib","Copanlisib"
"L01XX62","L01XX","Ivosidenib","Ivosidenib"
"L01XX63","L01XX","Glasdegib","Glasdegib"
"L01XX64","L01XX","Entinostat","Entinostat"
"L01XX65","L01XX","Alpesilib","Alpesilib"
"L01XX66","L01XX","Selinexor","Selinexor"
"L01XX67","L01XX","Tagraxofusp","Tagraxofusp"
"L01XX68","L01XX","Belotekan","Belotecan"
"L01XX69","L01XX","Lurbinektedin","Lurbinectedin"
"L01XX70","L01XX","Axikabtagen-ciloleucel","Axicabtagene ciloleucel"
"L01XX71","L01XX","Tisagenlekleucel","Tisagenlecleucel"
"L01XX72","L01XX","Tazemetostat","Tazemetostat"
"L01XX73","L01XX","Sotorasib","Sotorasib"
"L01XX74","L01XX","Belzutifan","Belzutifan"
"L01XX75","L01XX","Tebentafusp","Tebentafusp"
"L01XX77","L01XX","Adagrasib","Adagrasib"
"L01XX78","L01XX","Navitoklax","Navitoclax"
"L01XX79","L01XX","Eflornitin","Eflornithine"
"L01XX80","L01XX","Imetelstat","Imetelstat"
"L01XX81","L01XX","Nirogacestat","Nirogacestat"
"L01XX82","L01XX","Darinaparsin","Darinaparsin"
"L01XX83","L01XX","Para-toluensulfonamid","Para-toluenesulfonamide"
"L01XX84","L01XX","Pelabresib","Pelabresib"
"L01XX85","L01XX","Idroxiolsyra","Idroxioleic acid"
"L01XX86","L01XX","Kalaspargas pegol","Calaspargase pegol"
"L01XY","L01X","Kombinationer av antineoplastiska medel","Combinations of antineoplastic agents"
"L01XY01","L01XY","Cytarabin och daunorubicin","Cytarabine and daunorubicin"
"L01XY02","L01XY","Pertuzumab och trastuzumab","Pertuzumab and trastuzumab"
"L01XY03","L01XY","Nivolumab och relatlimab","Nivolumab and relatlimab"
"L01XY04","L01XY","Bifikafusp alfa och onfekafusp alfa","Bifikafusp alfa and onfekafusp alfa"
"L02","L","Endokrinterapi","Endocrine therapy"
"L02A","L02","Hormoner","Hormones and related agents"
"L02AA","L02A","Östrogener","Estrogens"
"L02AA01","L02AA","Dietylstilbestrol","Diethylstilbestrol"
"L02AA02","L02AA","Polyöstradiolfosfat","Polyestradiol phosphate"
"L02AA03","L02AA","Etinylestradiol","Ethinylestradiol"
"L02AA04","L02AA","Fosfestrol","Fosfestrol"
"L02AB","L02A","Gestagener","Progestogens"
"L02AB01","L02AB","Megestrol","Megestrol"
"L02AB02","L02AB","Medroxiprogesteron","Medroxyprogesterone"
"L02AB03","L02AB","Gestonoron","Gestonorone"
"L02AE","L02A","Gonadotropinfrisättande hormonanaloger","Gonadotropin releasing hormone analogues"
"L02AE01","L02AE","Buserelin","Buserelin"
"L02AE02","L02AE","Leuprorelin","Leuprorelin"
"L02AE03","L02AE","Goserelin","Goserelin"
"L02AE04","L02AE","Triptorelin","Triptorelin"
"L02AE05","L02AE","Histrelin","Histrelin"
"L02AE51","L02AE","Leuprorelin och bikalutamid","Leuprorelin and bicalutamide"
"L02AX","L02A","Övriga hormoner","Other hormones"
"L02B","L02","Antihormoner och relaterade medel","Hormone antagonists and related agents"
"L02BA","L02B","Antiöstrogener","Anti-estrogens"
"L02BA01","L02BA","Tamoxifen","Tamoxifen"
"L02BA02","L02BA","Toremifen","Toremifene"
"L02BA03","L02BA","Fulvestrant","Fulvestrant"
"L02BA04","L02BA","Elacestrant","Elacestrant"
"L02BB","L02B","Antiandrogener","Anti-androgens"
"L02BB01","L02BB","Flutamid","Flutamide"
"L02BB02","L02BB","Nilutamid","Nilutamide"
"L02BB03","L02BB","Bikalutamid","Bicalutamide"
"L02BB04","L02BB","Enzalutamid","Enzalutamide"
"L02BB05","L02BB","Apalutamid","Apalutamide"
"L02BB06","L02BB","Darolutamid","Darolutamide"
"L02BG","L02B","Aromatashämmare","Aromatase inhibitors"
"L02BG01","L02BG","Aminoglutetimid","Aminoglutethimide"
"L02BG02","L02BG","Formestan","Formestane"
"L02BG03","L02BG","Anastrozol","Anastrozole"
"L02BG04","L02BG","Letrozol","Letrozole"
"L02BG05","L02BG","Vorozol","Vorozole"
"L02BG06","L02BG","Exemestan","Exemestane"
"L02BX","L02B","Övriga antihormoner och relaterade medel","Other hormone antagonists and related agents"
"L02BX01","L02BX","Abarelix","Abarelix"
"L02BX02","L02BX","Degarelix","Degarelix"
"L02BX03","L02BX","Abirateron","Abiraterone"
"L02BX04","L02BX","Relugolix","Relugolix"
"L02BX53","L02BX","Abirateron och kortikosteroider","Abiraterone and corticosteroids"
"L03","L","Immunstimulerande medel","Immunostimulants"
"L03A","L03","Immunstimulerande medel","Immunostimulants"
"L03AA","L03A","Hematopoetiska tillväxtfaktorer","Colony stimulating factors"
"L03AA02","L03AA","Filgrastim","Filgrastim"
"L03AA03","L03AA","Molgramostim","Molgramostim"
"L03AA09","L03AA","Sargramostim","Sargramostim"
"L03AA10","L03AA","Lenograstim","Lenograstim"
"L03AA12","L03AA","Ancestim","Ancestim"
"L03AA13","L03AA","Pegfilgrastim","Pegfilgrastim"
"L03AA14","L03AA","Lipegfilgrastim","Lipegfilgrastim"
"L03AA15","L03AA","Balugrastim","Balugrastim"
"L03AA16","L03AA","Empegfilgrastim","Empegfilgrastim"
"L03AA17","L03AA","Pegteograstim","Pegteograstim"
"L03AA18","L03AA","Efbemalenograstim alfa","Efbemalenograstim alfa"
"L03AA19","L03AA","Eflapegrastim","Eflapegrastim"
"L03AB","L03A","Interferoner","Interferons"
"L03AB01","L03AB","Interferon alfa, naturlig","Interferon alfa natural"
"L03AB02","L03AB","Interferon beta, naturlig","Interferon beta natural"
"L03AB03","L03AB","Interferon gamma","Interferon gamma"
"L03AB04","L03AB","Interferon alfa-2a","Interferon alfa-2a"
"L03AB05","L03AB","Interferon alfa-2b","Interferon alfa-2b"
"L03AB06","L03AB","Interferon alfa-n1","Interferon alfa-n1"
"L03AB07","L03AB","Interferon beta-1a","Interferon beta-1a"
"L03AB08","L03AB","Interferon beta-1b","Interferon beta-1b"
"L03AB09","L03AB","Interferon alfacon-1","Interferon alfacon-1"
"L03AB10","L03AB","Peginterferon alfa-2b","Peginterferon alfa-2b"
"L03AB11","L03AB","Peginterferon alfa-2a","Peginterferon alfa-2a"
"L03AB12","L03AB","Albinterferon alfa-2b","Albinterferon alfa-2b"
"L03AB13","L03AB","Peginterferon beta-1a","Peginterferon beta-1a"
"L03AB14","L03AB","Cepeginterferon alfa-2b","Cepeginterferon alfa-2b"
"L03AB15","L03AB","Ropeginterferon alfa-2b","Ropeginterferon alfa-2b"
"L03AB16","L03AB","Peginterferon alfakon-2","Peginterferon alfacon-2"
"L03AB17","L03AB","Sampeginterferon beta-1a","Sampeginterferon beta-1a"
"L03AB60","L03AB","Peginterferon alfa-2b, kombinationer","Peginterferon alfa-2b, combinations"
"L03AB61","L03AB","Peginterferon alfa-2a, kombinationer","Peginterferon alfa-2a, combinations"
"L03AC","L03A","Interleukiner","Interleukins"
"L03AC01","L03AC","Aldesleukin","Aldesleukin"
"L03AC02","L03AC","Oprelvekin","Oprelvekin"
"L03AX","L03A","Övriga immunstimulerande medel","Other immunostimulants"
"L03AX01","L03AX","Lentinan","Lentinan"
"L03AX02","L03AX","Rokinimex","Roquinimex"
"L03AX03","L03AX","Vaccin mot Bacillus Calmette-Guerin (BCG)","BCG vaccine"
"L03AX04","L03AX","Pegademas","Pegademase"
"L03AX05","L03AX","Pidotimod","Pidotimod"
"L03AX07","L03AX","Poly I:C","Poly I:C"
"L03AX08","L03AX","Poly ICLC","Poly ICLC"
"L03AX09","L03AX","Tymopentin","Thymopentin"
"L03AX10","L03AX","Immunocyanin","Immunocyanin"
"L03AX11","L03AX","Tasonermin","Tasonermin"
"L03AX12","L03AX","Melanomvaccin","Melanoma vaccine"
"L03AX13","L03AX","Glatirameracetat","Glatiramer acetate"
"L03AX14","L03AX","Histamindihydroklorid","Histamine dihydrochloride"
"L03AX15","L03AX","Mifamurtid","Mifamurtide"
"L03AX16","L03AX","Plerixafor","Plerixafor"
"L03AX17","L03AX","Sipuleucel-T","Sipuleucel-T"
"L03AX18","L03AX","Kridanimod","Cridanimod"
"L03AX19","L03AX","Dasiprotimut-T","Dasiprotimut-T"
"L03AX21","L03AX","Elapegademas","Elapegademase"
"L03AX22","L03AX","Leniolisib","Leniolisib"
"L03AX23","L03AX","Motixafortid","Motixafortide"
"L03AX24","L03AX","Mavorixafor","Mavorixafor"
"L04","L","Immunsuppressiva medel","Immunosuppressants"
"L04A","L04","Immunsuppressiva medel","Immunosuppressants"
"L04AA","L04A","Selektiva immunsuppressiva medel","Selective immunosuppressants"
"L04AA01","L04AA","Ciklosporin","Ciclosporin"
"L04AA02","L04AA","Muromonab CD3","Muromonab-CD3"
"L04AA03","L04AA","Anti-lymfoocyt-immunoglobulin (häst)","Antilymphocyte immunoglobulin (horse)"
"L04AA04","L04AA","Anti-tymocyt-immunoglobulin (kanin)","Antithymocyte immunoglobulin (rabbit)"
"L04AA05","L04AA","Takrolimus","Tacrolimus"
"L04AA06","L04AA","Mykofenolsyra","Mycophenolic acid"
